,ssp,period,quantile,count,variable
198,ssp126,2041-2051,0,42525,HDH
218,ssp126,2041-2051,2.64485676861881E-05,1038,HDH
207,ssp126,2041-2051,0.621908569335915,2211,HDH
205,ssp126,2041-2051,1.23366902669269,2236,HDH
214,ssp126,2041-2051,1.83515014648435,2121,HDH
212,ssp126,2041-2051,2.43077189127602,2151,HDH
216,ssp126,2041-2051,3.0313781738281,2114,HDH
208,ssp126,2041-2051,3.63480224609373,2199,HDH
213,ssp126,2041-2051,4.2382873535156,2144,HDH
217,ssp126,2041-2051,4.8474182128906,2090,HDH
210,ssp126,2041-2051,5.46485493977862,2174,HDH
211,ssp126,2041-2051,6.0920471191406,2153,HDH
202,ssp126,2041-2051,6.7457336425781,2303,HDH
215,ssp126,2041-2051,7.42415974934894,2120,HDH
203,ssp126,2041-2051,8.12185770670571,2273,HDH
209,ssp126,2041-2051,8.81697184244789,2199,HDH
206,ssp126,2041-2051,9.54146423339842,2235,HDH
204,ssp126,2041-2051,10.3686075846354,2254,HDH
201,ssp126,2041-2051,11.3660491943359,2433,HDH
200,ssp126,2041-2051,12.7873392740885,2497,HDH
199,ssp126,2041-2051,14.9491383870442,4030,HDH
219,ssp126,2041-2051,31.8296569824219,148,HDH
990,ssp126,2051-2061,0,81788,CDH
1010,ssp126,2051-2061,3.45865885655883E-05,134,CDH
1006,ssp126,2051-2061,0.286584472656273,273,CDH
1008,ssp126,2051-2061,0.582147216796898,266,CDH
1009,ssp126,2051-2061,0.883386230468773,260,CDH
1001,ssp126,2051-2061,1.19264119466148,293,CDH
1005,ssp126,2051-2061,1.51648864746096,283,CDH
998,ssp126,2051-2061,1.84905395507815,299,CDH
1000,ssp126,2051-2061,2.20259246826174,295,CDH
997,ssp126,2051-2061,2.56795654296877,302,CDH
995,ssp126,2051-2061,2.96079915364586,306,CDH
1002,ssp126,2051-2061,3.36797485351565,289,CDH
1003,ssp126,2051-2061,3.79624837239586,288,CDH
1004,ssp126,2051-2061,4.26107177734377,285,CDH
1007,ssp126,2051-2061,4.77202504475914,272,CDH
994,ssp126,2051-2061,5.33524475097659,317,CDH
999,ssp126,2051-2061,5.96098480224612,297,CDH
993,ssp126,2051-2061,6.67320149739586,338,CDH
996,ssp126,2051-2061,7.51457366943362,306,CDH
992,ssp126,2051-2061,8.55979309082034,342,CDH
991,ssp126,2051-2061,10.1126876831055,439,CDH
1011,ssp126,2051-2061,20.3302551269531,0,CDH
220,ssp126,2051-2061,0,41759,HDH
240,ssp126,2051-2061,2.64485676861881E-05,1108,HDH
230,ssp126,2051-2061,0.621908569335915,2155,HDH
238,ssp126,2051-2061,1.23366902669269,2055,HDH
236,ssp126,2051-2061,1.83515014648435,2071,HDH
237,ssp126,2051-2061,2.43077189127602,2057,HDH
239,ssp126,2051-2061,3.0313781738281,2049,HDH
235,ssp126,2051-2061,3.63480224609373,2082,HDH
234,ssp126,2051-2061,4.2382873535156,2096,HDH
232,ssp126,2051-2061,4.8474182128906,2118,HDH
233,ssp126,2051-2061,5.46485493977862,2108,HDH
229,ssp126,2051-2061,6.0920471191406,2163,HDH
227,ssp126,2051-2061,6.7457336425781,2270,HDH
231,ssp126,2051-2061,7.42415974934894,2138,HDH
228,ssp126,2051-2061,8.12185770670571,2257,HDH
226,ssp126,2051-2061,8.81697184244789,2280,HDH
225,ssp126,2051-2061,9.54146423339842,2312,HDH
224,ssp126,2051-2061,10.3686075846354,2387,HDH
223,ssp126,2051-2061,11.3660491943359,2717,HDH
222,ssp126,2051-2061,12.7873392740885,2741,HDH
221,ssp126,2051-2061,14.9491383870442,4701,HDH
241,ssp126,2051-2061,31.8296569824219,48,HDH
1012,ssp126,2061-2071,0,81757,CDH
1032,ssp126,2061-2071,3.45865885655883E-05,158,CDH
1015,ssp126,2061-2071,0.286584472656273,317,CDH
1020,ssp126,2061-2071,0.582147216796898,308,CDH
1024,ssp126,2061-2071,0.883386230468773,296,CDH
1014,ssp126,2061-2071,1.19264119466148,324,CDH
1018,ssp126,2061-2071,1.51648864746096,309,CDH
1017,ssp126,2061-2071,1.84905395507815,313,CDH
1016,ssp126,2061-2071,2.20259246826174,315,CDH
1029,ssp126,2061-2071,2.56795654296877,278,CDH
1019,ssp126,2061-2071,2.96079915364586,309,CDH
1030,ssp126,2061-2071,3.36797485351565,276,CDH
1028,ssp126,2061-2071,3.79624837239586,283,CDH
1025,ssp126,2061-2071,4.26107177734377,293,CDH
1027,ssp126,2061-2071,4.77202504475914,287,CDH
1022,ssp126,2061-2071,5.33524475097659,302,CDH
1026,ssp126,2061-2071,5.96098480224612,289,CDH
1021,ssp126,2061-2071,6.67320149739586,305,CDH
1031,ssp126,2061-2071,7.51457366943362,252,CDH
1023,ssp126,2061-2071,8.55979309082034,302,CDH
1013,ssp126,2061-2071,10.1126876831055,375,CDH
1033,ssp126,2061-2071,20.3302551269531,0,CDH
